"Id","Url","ImageUrl","Name","Symbol","CoinName","FullName","Algorithm","ProofType","FullyPremined","TotalCoinSupply","PreMinedValue","TotalCoinsFreeFloat","SortOrder","Sponsored","IsTrading"
"25817","/coins/xpoke/overview","/media/351393/xpoke.png","XPOKE","XPOKE","PokeChain","PokeChain (XPOKE)","X13","PoS","0","75000000","N/A","N/A","703",false,true
"25822","/coins/warp/overview","/media/351395/warp.png","WARP","WARP","WarpCoin","WarpCoin (WARP)","PoS","PoS","0","N/A","N/A","N/A","705",false,true
"25825","/coins/cnmt/overview","/media/351396/cnmt.png","CNMT","CNMT","Coinomat","Coinomat (CNMT)","N/A","N/A","1","3000000","N/A","N/A","706",false,true
"25830","/coins/pizza/overview","/media/351397/pizza.png","PIZZA","PIZZA","PizzaCoin","PizzaCoin (PIZZA)","X11","PoW","0","25000000","N/A","N/A","707",false,true
"25916","/coins/lc/overview","/media/351398/lc.png","LC","LC","Lutetium Coin","Lutetium Coin (LC)","X11","PoS","1","657000000","N/A","N/A","708",false,true
"25917","/coins/heat/overview","/media/351399/heat.png","HEAT","HEAT","Heat Ledger","Heat Ledger (HEAT)","N/A","PoS/PoP","0","26000000","N/A","N/A","709",false,true
"25921","/coins/icn/overview","/media/351400/icn.png","ICN","ICN","Iconomi","Iconomi (ICN)","N/A","N/A","1","100000000","N/A","N/A","710",false,true
"25925","/coins/exb/overview","/media/351401/exb.png","EXB","EXB","ExaByte (EXB)","ExaByte (EXB) (EXB)","SHA256","PoW","0","500000000","N/A","N/A","711",false,true
"25946","/coins/wings/overview","/media/1382758/1wings.png","WINGS","WINGS","Wings DAO","Wings DAO (WINGS)","N/A","N/A","1","100000000","N/A","N/A","712",false,true
"26113","/coins/cdxstar/overview","/media/351404/cdx.png","CDX*","CDX*","Cryptodex","Cryptodex (CDX*)","N/A","N/A","0","100000000","N/A","N/A","713",false,false
"26121","/coins/rbit/overview","/media/351405/rbit.png","RBIT","RBIT","ReturnBit","ReturnBit (RBIT)","Scrypt","PoW","0","N/A","N/A","N/A","714",false,true
"26129","/coins/dcs/overview","/media/351407/cloud.png","DCS","DCS.","deCLOUDs","deCLOUDs (DCS)","N/A","PoS","0","100000000","N/A","N/A","715",false,false
"26132","/coins/kmd/overview","/media/351408/kmd.png","KMD","KMD","Komodo","Komodo (KMD)","Equihash","dPoW/PoW","0","200000000","N/A","N/A","716",false,true
"26194","/coins/gb/overview","/media/351411/db.png","GB","GB","GoldBlocks","GoldBlocks (GB)","X11","PoW/PoS","0","50000000","N/A","N/A","717",false,true
"27370","/coins/anc/overview","/media/19598/anc.png","ANC","ANC","Anoncoin","Anoncoin (ANC)","N/A","PoW","0","4200000","N/A","N/A","719",false,true
"27591","/coins/synx/overview","/media/15887426/synx.png","SYNX","SYNX","Syndicate","Syndicate (SYNX)","X11","PoW/PoS","0","N/A","N/A","N/A","720",false,true
"27594","/coins/mc/overview","/media/351428/mc.png","MC","MC","Mass Coin","Mass Coin (MC)","N/A","N/A","0","1000000000000","N/A","N/A","721",false,false
"27634","/coins/edr/overview","/media/351430/edc.png","EDR","EDR","E-Dinar Coin","E-Dinar Coin (EDR)","X11","DPoS","0","999000000000000","N/A","N/A","722",false,true
"27674","/coins/jwl/overview","/media/351432/jwl.png","JWL","JWL","Jewels","Jewels (JWL)","POS 3.0","N/A","0","20000000","N/A","N/A","723",false,true
"27681","/coins/way/overview","/media/351433/way.png","WAY","WAY","WayCoin","WayCoin (WAY)","X11","PoS","0","100000000","N/A","N/A","724",false,true
"27993","/coins/tab/overview","/media/351488/tab.png","TAB","TAB","MollyCoin","MollyCoin (TAB)","Scrypt","PoW/PoS","0","25000000","N/A","N/A","725",false,true
"27996","/coins/trig/overview","/media/351489/trg.png","TRIG","TRIG","Trigger","Trigger (TRIG)","N/A","N/A","0","100000000","N/A","N/A","726",false,true
"28019","/coins/bitcny/overview","/media/351490/bitcny.png","BITCNY","BITCNY","bitCNY","bitCNY (BITCNY)","N/A","N/A","1","100000000000","N/A","N/A","727",false,true
"28021","/coins/bitusd/overview","/media/351491/bitusd.png","BITUSD","BITUSD","bitUSD","bitUSD (BITUSD)","N/A","N/A","0","100000000000","N/A","N/A","728",false,true
"28023","/coins/atmstar/overview","/media/351492/atm.png","ATM*","ATM*","Autumncoin","Autumncoin (ATM*)","X11","PoW/PoS","0","N/A","N/A","N/A","729",false,true
"28025","/coins/sto/overview","/media/351493/sto.png","STO","STO","Save The Ocean","Save The Ocean (STO)","X11","PoW/PoS","0","150000000","N/A","N/A","730",false,true
"28027","/coins/sns/overview","/media/351494/sns.png","SNS","SNS","Sense","Sense (SNS)","N/A","N/A","1","100000000","N/A","N/A","731",false,false
"28081","/coins/fsn/overview","/media/351495/fsn.png","FSN","FSN","Fusion","Fusion (FSN)","SHA256","PoW","0","3000000","N/A","N/A","732",false,true
"28083","/coins/ctc/overview","/media/351496/ctc.png","CTC","CTC","CarterCoin","CarterCoin (CTC)","Scrypt","PoW/PoS","0","90000000","N/A","N/A","733",false,true
"28087","/coins/tot/overview",,"TOT","TOT","TotCoin","TotCoin (TOT)","Scrypt","PoW/PoS","0","1613150000","N/A","N/A","734",false,true
"28089","/coins/btd/overview","/media/351498/btd.png","BTD","BTD","Bitcloud","Bitcloud (BTD)","Scrypt","PoW/PoS","0","N/A","N/A","N/A","735",false,true
"28125","/coins/bots/overview","/media/351499/bot.png","BOTS","BOTS","ArkDAO","ArkDAO (BOTS)","N/A","N/A","0","N/A","N/A","N/A","736",false,false
"28128","/coins/mdc/overview","/media/351500/mdc.png","MDC","MDC","MedicCoin","MedicCoin (MDC)","Scrypt","PoW/PoS","0","33000000","N/A","N/A","737",false,true
"28131","/coins/ftp/overview","/media/351501/ftp.png","FTP","FTP","FuturePoints","FuturePoints (FTP)","X11","PoS","0","360000000","N/A","N/A","738",false,true
"28136","/coins/zet2/overview","/media/351502/zet2.png","ZET2","ZET2","Zeta2Coin","Zeta2Coin (ZET2)","Quark","PoW/PoS","0","1200000","N/A","N/A","739",false,true
"28151","/coins/covstar/overview","/media/351503/cov.png","COV*","COV*","CovenCoin","CovenCoin (COV*)","SHA256","PoW/PoS","0","33000","N/A","N/A","740",false,true
"28154","/coins/krb/overview","/media/25792684/krb.png","KRB","KRB","Karbo","Karbo (KRB)","CryptoNight","PoW","0","10000000","N/A","N/A","741",false,true
"28172","/coins/tell/overview","/media/351505/tell.png","TELL","TELL","Tellurion","Tellurion (TELL)","X11","PoW/PoS","0","3652422000","N/A","N/A","742",false,true
"28174","/coins/ene/overview","/media/351506/ene.png","ENE","ENE","EneCoin","EneCoin (ENE)","X13","PoW/PoS","0","N/A","N/A","N/A","743",false,true
"28176","/coins/tdfb/overview","/media/351507/tdfb.png","TDFB","TDFB","TDFB","TDFB (TDFB)","SHA256D","PoW/PoS","0","N/A","N/A","N/A","744",false,true
"28204","/coins/blockpay/overview","/media/351508/blockpay.png","BLOCKPAY","BLOCKPAY","BlockPay","BlockPay (BLOCKPAY)","N/A","N/A","0","100000000","N/A","N/A","745",false,false
"28208","/coins/bxt/overview","/media/351509/bxt.png","BXT","BXT","BitTokens","BitTokens (BXT)","SHA256","PoW/PoS","0","21000000","N/A","N/A","746",false,true
"28219","/coins/mst/overview","/media/351529/mst1.png","MST","MST","MustangCoin","MustangCoin (MST)","X11","PoW/PoS","0","3000000","N/A","N/A","748",false,true
"28221","/coins/goon/overview","/media/351512/goon.png","GOON","GOON","Goonies","Goonies (GOON)","Scrypt","PoW","0","270875968","N/A","N/A","749",false,true
"28225","/coins/vlt/overview","/media/351514/vlt.png","VLT","VLT","Veltor","Veltor (VLT)","N/A","PoW","0","N/A","N/A","N/A","751",false,true
"28227","/coins/zne/overview","/media/351515/zne.jpg","ZNE","ZNE","ZoneCoin","ZoneCoin (ZNE)","Scrypt","PoW/PoS","0","21000000","N/A","N/A","752",false,true
"28229","/coins/dck/overview","/media/351516/dck.png","DCK","DCK","DickCoin","DickCoin (DCK)","X11","PoW/PoS","0","N/A","N/A","N/A","753",false,true
"28276","/coins/coval/overview","/media/351519/coval.png","COVAL","COVAL","Circuits of Value","Circuits of Value (COVAL)","Multiple","PoW","0","1000000000","N/A","N/A","754",false,true
"28278","/coins/dgdc/overview","/media/351520/dgd.png","DGDC","DGDC","DarkGold","DarkGold (DGDC)","X13","PoW/PoS","0","1000000","N/A","N/A","755",false,true
"28317","/coins/today/overview","/media/351521/today.png","TODAY","TODAY","TodayCoin","TodayCoin (TODAY)","Scrypt","PoW","0","39200000","N/A","N/A","756",false,true
