"exchange","coin"
"BTER","NTX"
"BTER","REP"
"BTER","TBC"
"BTER","C2"
"BTER","ARCH"
"BTER","CMC"
"BTER","TAG"
"BTER","SFR"
"BTER","VTC"
"BTER","BTB"
"BTER","OAX"
"BTER","BTM*"
"BTER","ROX"
"BTER","STORJ"
"BTER","PTS*"
"BTER","FRC"
"BTER","QTUM"
"BTER","NXT"
"BTER","XCR"
"BTER","DRKC"
"BTER","BITCNY"
"BTER","NAS"
"BTER","BTM"
"BTER","LRC"
"BTER","IFC"
"BTER","CTC"
"BTER","TIX*"
"BTER","ZEC"
"BTER","RED"
"BTER","XRP"
"BTER","EOS"
"BTER","FTC"
"BTER","MEC"
"BTER","NET"
"BTER","GHOST"
"BTER","XCP"
"BTER","BAT"
"BTER","DOC"
"BTER","DTC*"
"BTER","BCH"
"BTER","XMR"
"BTER","NSR"
"BTER","BTC"
"BTER","DOGE"
"BTER","LTC"
"BTER","XEM"
"BTER","MINT"
"BTER","MSC"
"BTER","UNITY"
"BTER","NXTTY"
"BTER","XPM"
"BTER","ZCC"
"BTER","HKG"
"BTER","ATOMIC"
"BTER","FRSH"
"BTER","OMG"
"BTER","ZRX"
"BTER","PST"
"BTER","BITGLD"
"BTER","DICE"
"BTER","XC"
"BTER","BUK"
"BTER","BTS"
"BTER","FTP"
"BTER","TIPS"
"BTER","WDC"
"BTER","AUR"
"BTER","LLT"
"BTER","SPARK"
"BTER","DICE*"
"BTER","MRKT"
"BTER","BQC"
"BTER","MG"
"BTER","SWIFT"
"BTER","BTCD"
"BTER","QORA"
"BTER","ETH"
"BTER","CKC"
"BTER","PPC"
"BTER","SLM"
"BTER","NFD"
"BTER","NAV"
"BTER","NODE"
"BTER","KDC"
"BTER","SHELL"
"BTER","BTRX"
"BTER","NBT"
"BTER","BLOCK"
"BTER","DGC"
"BTER","GEMZ"
"BTER","BCC"
"BTER","BAY"
"BTER","COMM"
"BTER","SRC"
"BTER","FLT"
"BTER","BBR"
"BTER","LTS"
"BTER","MGW"
"BTER","AC"
"BTER","PRT"
"BTER","DPY"
"OKCoin","BTC"
"OKCoin","LTC"
"OKCoin","LTLTC"
"OKCoin","ETH"
"OKCoin","ETC"
"OKCoin","BCH"
"OKCoin","BTLTC"
"Coinbase","LTC"
"Coinbase","BCH"
"Coinbase","ETH"
"Coinbase","BTC"
"Poloniex","REP"
"Poloniex","ABY"
"Poloniex","NOXT"
"Poloniex","BTCD"
"Poloniex","DIEM"
"Poloniex","BCH"
"Poloniex","LTBC"
"Poloniex","OMG"
"Poloniex","BBR"
"Poloniex","GAME"
"Poloniex","LTC"
"Poloniex","BTC"
"Poloniex","SILK"
"Poloniex","YAC"
"Poloniex","IFC"
"Poloniex","CVC"
"Poloniex","GNT"
"Poloniex","BCN"
"Poloniex","HUGE"
"Poloniex","NXT"
"Poloniex","QORA"
"Poloniex","XCN"
"Poloniex","GEO"
"Poloniex","UNITY"
"Poloniex","STRAT"
"Poloniex","WDC"
"Poloniex","GOLD"
"Poloniex","RBY"
"Poloniex","XCH"
"Poloniex","RADS"
"Poloniex","GML"
"Poloniex","NOTE"
"Poloniex","NEOS"
"Poloniex","XBC"
"Poloniex","ETH"
"Poloniex","ULTC"
"Poloniex","ETC"
"Poloniex","SYS"
"Poloniex","ZEC"
"Poloniex","SQL"
"Poloniex","STEEM"
"Poloniex","PINK"
"Poloniex","PPC"
"Poloniex","HIRO"
"Poloniex","SJCX"
"Poloniex","XMR"
"Poloniex","GRS"
"Poloniex","MCN"
"Poloniex","SRCC"
"Poloniex","BELA"
"Poloniex","DASH"
"Poloniex","ARDR"
"Poloniex","AMP"
"Poloniex","MMNXT"
"Poloniex","XAI"
"Poloniex","PASC"
"Poloniex","BITCNY"
"Poloniex","LQD"
"Poloniex","NAUT"
"Poloniex","DRK"
"Poloniex","FLO"
"Poloniex","MIL"
"Poloniex","XCP"
"Poloniex","CURE"
"Poloniex","RIC"
"Poloniex","1CR"
"Poloniex","GAS"
"Poloniex","HYP"
"Poloniex","CCN"
"Poloniex","SYNC"
"Poloniex","C2"
"Poloniex","DCR"
"Poloniex","SDC"
"Poloniex","NXC"
"Poloniex","MMXIV"
"Poloniex","GDN"
"Poloniex","DAO"
"Poloniex","USD"
"Poloniex","HZ"
"Poloniex","XRP"
"Poloniex","MNTA"
"Poloniex","XAP"
"Poloniex","XST"
"Poloniex","MAID"
"Poloniex","IOC"
"Poloniex","MINT"
"Poloniex","BURST"
"Poloniex","VOX"
"Poloniex","SWARM"
"Poloniex","XLM"
"Poloniex","DGB"
"Poloniex","CYC"
"Poloniex","XMG"
"Poloniex","LSK"
"Poloniex","CLAM"
"Poloniex","GNO"
"Poloniex","TAC"
"Poloniex","RDD"
"Poloniex","XVC"
"Poloniex","STR"
"Poloniex","NOBL"
"Poloniex","CHA"
"Poloniex","VTC"
"Poloniex","XEM"
"Poloniex","XDN"
"Poloniex","NSR"
"Poloniex","NMC"
"Poloniex","STORJ"
"Poloniex","BITS"
"Poloniex","MMC"
"Poloniex","SBD*"
"Poloniex","VRC"
"Poloniex","CGA"
"Poloniex","INDEX"
"Poloniex","BLK"
"Poloniex","PTS*"
"Poloniex","POT"
"Poloniex","XMY"
"Poloniex","CNMT"
"Poloniex","BCY"
"Poloniex","ACH"
"Poloniex","GRC"
"Poloniex","LBC"
"Poloniex","UIS"
"Poloniex","DSH"
"Poloniex","BALLS"
"Poloniex","SC"
"Poloniex","VNL"
"Poloniex","VIA"
"Poloniex","PIGGY"
"Poloniex","QTL"
"Poloniex","XDP"
"Poloniex","XCR"
"Poloniex","XC"
"Poloniex","NXTI"
"Poloniex","HUC"
"Poloniex","EXE"
"Poloniex","GRCX"
"Poloniex","FLDC"
"Poloniex","OPAL"
"Poloniex","BITUSD"
"Poloniex","ZRX"
"Poloniex","QBK"
"Poloniex","BLOCK"
"Poloniex","CINNI"
"Poloniex","EXP"
"Poloniex","NBT"
"Poloniex","URO"
"Poloniex","OMNI"
"Poloniex","BTS"
"Poloniex","FLT"
"Poloniex","DOGE"
"Poloniex","FRAC"
"Poloniex","ARCH"
"Poloniex","XPB"
"Poloniex","XPM"
"Poloniex","ADN"
"Poloniex","MRS"
"Poloniex","GMC"
"Poloniex","JLH"
"Poloniex","SSD"
"Poloniex","EMC2"
"Poloniex","GEMZ"
"Poloniex","CNOTE"
"Poloniex","GAP"
"Poloniex","WOLF"
"Poloniex","MNS1"
"Poloniex","FIBRE"
"Poloniex","FCT"
"Poloniex","MSC"
"Poloniex","PRC"
"Poloniex","BTM"
"Poloniex","NAV"
"Cexio","BTG"
"Cexio","LTC"
"Cexio","MEC"
"Cexio","ETH"
"Cexio","FTC"
"Cexio","DRK"
"Cexio","XRP"
"Cexio","WDC"
"Cexio","BTC"
"Cexio","ANC"
"Cexio","DASH"
"Cexio","DGB"
"Cexio","AUR"
"Cexio","GHS*"
"Cexio","USDE"
"Cexio","DOGE"
"Cexio","XLM"
"Cexio","BCH"
"Cexio","POT"
"Cexio","ZEC"
"Cexio","XMY"
"Cexio","IXC"
"Cexio","NMC"
"BTCE","USD"
"BTCE","DASH"
"BTCE","BTC"
"BTCE","LTC"
"BTCE","NMC"
"BTCE","EUR"
"BTCE","ETH"
"BTCE","NVC"
"BTCE","PPC"
"BTCE","GBP"
"BitTrex","2015"
"BitTrex","ILT"
"BitTrex","DCR"
"BitTrex","OMG"
"BitTrex","CLAM"
"BitTrex","TIME"
"BitTrex","VMC"
"BitTrex","TIX"
"BitTrex","ENG"
"BitTrex","STORJ"
"BitTrex","CFI"
"BitTrex","LSK"
"BitTrex","GEMZ"
"BitTrex","HIRE"
"BitTrex","10K"
"BitTrex","PTOY"
"BitTrex","DRACO"
"BitTrex","DTB"
"BitTrex","EQM"
"BitTrex","NTRN"
"BitTrex","RLC"
"BitTrex","OPTI"
"BitTrex","NMR"
"BitTrex","DUB"
"BitTrex","DAO"
"BitTrex","CIRC"
"BitTrex","DOPE"
"BitTrex","LGD"
"BitTrex","QTUM"
"BitTrex","SLING"
"BitTrex","EKN"
"BitTrex","MINE"
"BitTrex","START"
"BitTrex","IOC"
"BitTrex","FUN"
"BitTrex","NANAS"
"BitTrex","DMD"
"BitTrex","GRE"
"BitTrex","ION"
"BitTrex","ROS"
"BitTrex","ADC"
"BitTrex","XCASH"
"BitTrex","GBYTE"
"BitTrex","SHIBE"
"BitTrex","EFL"
"BitTrex","MND"
"BitTrex","UNIQ"
"BitTrex","HMQ"
"BitTrex","KTK"
"BitTrex","WINGS"
"BitTrex","BDC"
"BitTrex","TIT"
"BitTrex","XMR"
"BitTrex","JBS"
"BitTrex","PINK"
"BitTrex","NEO"
"BitTrex","ADX"
"BitTrex","WARP"
"BitTrex","XSEED"
"BitTrex","MER"
"BitTrex","MEME"
"BitTrex","DRK"
"BitTrex","SSD"
"BitTrex","NAUT"
"BitTrex","ADA"
"BitTrex","ZEC"
"BitTrex","RISK"
"BitTrex","MCO"
"BitTrex","ASN"
"BitTrex","RADS"
"BitTrex","GRS"
"BitTrex","XAUR"
"BitTrex","VIRAL"
"BitTrex","BRX"
"BitTrex","SBIT"
"BitTrex","BTS"
"BitTrex","POWR"
"BitTrex","BCY"
"BitTrex","WAVES"
"BitTrex","UNB"
"BitTrex","PAY"
"BitTrex","BCPT"
"BitTrex","SCRT"
"BitTrex","EMC"
"BitTrex","SLR"
"BitTrex","VRM"
"BitTrex","GRAV"
"BitTrex","XWC"
"BitTrex","BCF"
"BitTrex","SWIFT"
"BitTrex","CLOAK"
"BitTrex","LIMX"
"BitTrex","BTM"
"BitTrex","GPH"
"BitTrex","EDONT"
"BitTrex","MZC"
"BitTrex","XAI"
"BitTrex","MONA"
"BitTrex","KMD"
"BitTrex","DNT"
"BitTrex","NET"
"BitTrex","UTC"
"BitTrex","XST"
"BitTrex","MUSIC"
"BitTrex","STRAT"
"BitTrex","ANT"
"BitTrex","CRB"
